context,triplets
"Authorities have accused Tohti of playing a role in inciting numerous violent incidents , including a “ terror attack ” near the desert city Kashgar last spring which killed 21 people , and an attack on a police station in Lukqun , a nearby town of 30,000 people , that left dozens of people dead last June .","<triplet> an attack on a police station in Lukqun , a nearby town of 30,000 people <subj> dozens of people dead last June <obj> cause"
""" Rebels opened fire on the IAF chopper when it tried to land in a conflict zone in Sukma district to rescue a few troopers who had received gunshots in an encounter .",<triplet> it tried to land in a conflict zone in Sukma district <subj> Rebels opened fire on the IAF chopper <obj> cause
""" Rebels opened fire on the IAF chopper when it tried to land in a conflict zone in Sukma district to rescue a few troopers who had received gunshots in an encounter .",<triplet> to rescue a few troopers who had received gunshots in an encounter <subj> it tried to land in a conflict zone in Sukma district <obj> cause
The company has also announced that it will be investing in research and development to create new products and services.,<triplet> research <subj> create <obj> enable
The United Nations has adopted a new resolution that calls for all member states to take steps to combat climate change and to promote sustainable development.,<triplet> resolution <subj> combat <obj> enable
The government has implemented a series of measures to prevent the violation of human rights.,<triplet> measures <subj> violation <obj> prevent
When we got up to go home the police acted violently towards us even though our protest was peaceful .,<triplet> to go home <subj> we got up <obj> cause
When we got up to go home the police acted violently towards us even though our protest was peaceful .,<triplet> we got up <subj> the police acted violently towards us <obj> cause
When we got up to go home the police acted violently towards us even though our protest was peaceful .,<triplet> our protest was peaceful <subj> the police acted violently towards us <obj> cause
The government passed a law to increase the number of public transportation options in an effort to reduce traffic congestion.,<triplet> passed <subj> reduce <obj> intend
"In other incidents of violence on Saturday , four persons were injured and over 20 vehicles set ablaze when clashes broke out between CPM and Trinamool Congress supporters in Siuri under Birbhum Lok Sabha constituency .",<triplet> clashes broke out between CPM and Trinamool Congress supporters in Siuri under Birbhum Lok Sabha constituency <subj> four persons were injured and over 20 vehicles set ablaze <obj> cause
"""There are very specific entry and movement rules and procedures which the organisers have laid out in order to ensure the protection of everyone involved,"" she added.",<triplet> rules <subj> protection <obj> enable
"In another incident , Udumalpet police booked cases against Mustalif and Hakkim , the DMDK and AIADMK candidates contesting as councillors in Ward 8 of Udumalpet Municipality , respectively , for engaging in similar clashes .","<triplet> engaging in similar clashes <subj> Udumalpet police booked cases against Mustalif and Hakkim , the DMDK and AIADMK candidates contesting as councillors in Ward 8 of Udumalpet Municipality , respectively <obj> cause"
02nd October 2015 03:39 AM RAICHUR : The ongoing agitation against the Centre ’ s decision to set up the state ’ s first IIT at Dharwad took an ugly turn on Thursday after West Police Station PSI Agni allegedly assaulted a lorry driver and brandished his service revolver at the agitators during a protest by the lorry owners ’ association here .,<triplet> West Police Station PSI Agni allegedly assaulted a lorry driver and brandished his service revolver at the agitators during a protest by the lorry owners ’ association here <subj> The ongoing agitation against the Centre ’ s decision to set up the state ’ s first IIT at Dharwad took an ugly turn on Thursday <obj> cause
02nd October 2015 03:39 AM RAICHUR : The ongoing agitation against the Centre ’ s decision to set up the state ’ s first IIT at Dharwad took an ugly turn on Thursday after West Police Station PSI Agni allegedly assaulted a lorry driver and brandished his service revolver at the agitators during a protest by the lorry owners ’ association here .,<triplet> against the Centre ’ s decision to set up the state ’ s first IIT at Dharwad <subj> The ongoing agitation <obj> cause
"The White House revealed yesterday that the deposed Kuwaiti government had formally requested the U.S. to enforce the full trade embargo imposed by the United Nations on Iraq, allowing the U.S. and other countries to start blocking ships carrying Iraqi goods immediately.",<triplet> requested <subj> blocking <obj> enable
"The march led by varsity 's Dean of Students ' Welfare Tasneem Meenai and Chief Proctor Mehtab Alam , was conducted yesterday to send out a message of global peace .","<triplet> to send out a message of global peace <subj> The march led by varsity 's Dean of Students ' Welfare Tasneem Meenai and Chief Proctor Mehtab Alam , was conducted yesterday <obj> cause"
"His centre-right coalition currently controls 45 seats in the 90-seat parliament, several MPs having left the government camp in recent months.",<triplet> left <subj> coalition <obj> prevent
"The government has introduced a new program to provide job training and employment opportunities for veterans, in an effort to reduce unemployment.",<triplet> introduced <subj> reduce <obj> intend
The U.S. House of Representatives yesterday passed a bill that would impose a three-year moratorium on the importation of certain products from countries that have not signed the Nuclear Non-Proliferation Treaty.,<triplet> bill <subj> moratorium <obj> enable
The outfit had last week killed one Nandlal Shah and his daughter and injured two of his family members in Tinsukia district for ignoring its monetary demand .,<triplet> ignoring its monetary demand <subj> The outfit had last week killed one Nandlal Shah and his daughter and injured two of his family members in Tinsukia district <obj> cause
"Cineplex Odeon Corp. directors said the company's chairman and chief executive, Garth Drabinsky, is considering bidding 780.6 million Canadian dollars (US$666 million) to acquire the company.    ",<triplet> bidding <subj> acquire <obj> intend
The government has implemented a series of measures to prevent tax evasion and fraud.,<triplet> measures <subj> Tax evasion <obj> prevent
"Cassim said that the DA had since laid a complaint at the South African Human Rights Commission ( SAHRC ) against one identified leader in the EFF structure , Omphile Seleke , who allegedly incited chaos and violence at the University of Pretoria ( Tuks ) campus in particular .","<triplet> who allegedly incited chaos and violence at the University of Pretoria ( Tuks ) campus in particular <subj> the DA had since laid a complaint at the South African Human Rights Commission ( SAHRC ) against one identified leader in the EFF structure , Omphile Seleke <obj> cause"
"The government is introducing a new law to protect consumers, in an effort to ensure fair prices and quality products.",<triplet> introducing <subj> ensure <obj> intend
"Bank work hit by staff strike - Indian Express Express News Service , Express News Service : Faridkot / Moga , Thu Dec 17 2009 , 00:02 hrs Bank work remained paralysed in the region after the employees went on strike following a call given by the All India Bank Employees ' Union and the All India Bank Officers ' Association .",<triplet> staff strike <subj> Bank work hit <obj> cause
"Bank work hit by staff strike - Indian Express Express News Service , Express News Service : Faridkot / Moga , Thu Dec 17 2009 , 00:02 hrs Bank work remained paralysed in the region after the employees went on strike following a call given by the All India Bank Employees ' Union and the All India Bank Officers ' Association .",<triplet> the employees went on strike <subj> Bank work remained paralysed in the region <obj> cause
"Bank work hit by staff strike - Indian Express Express News Service , Express News Service : Faridkot / Moga , Thu Dec 17 2009 , 00:02 hrs Bank work remained paralysed in the region after the employees went on strike following a call given by the All India Bank Employees ' Union and the All India Bank Officers ' Association .",<triplet> a call given by the All India Bank Employees ' Union and the All India Bank Officers ' Association <subj> the employees went on strike <obj> cause
But the new pact will force huge debt on the new firm and could still fail to thwart rival suitor McCaw Cellular.,<triplet> pact <subj> force <obj> cause
The European Union has passed a new law that requires all member states to reduce their carbon emissions by 30% by,<triplet> law <subj> reduce <obj> enable
"The strike , under the aegis of The AP Junior Doctors Association , Gandhi General Hospital unit , would be intensified if their demands were not met , the protesting doctors threatened .","<triplet> their demands were not met <subj> The strike , under the aegis of The AP Junior Doctors Association , Gandhi General Hospital unit , would be intensified <obj> cause"
"While private bus operators are running only a limited number of services , many school managements have closed the institutions to mark their protest .",<triplet> to mark their protest <subj> many school managements have closed the institutions <obj> cause
AAP Workers Protest Against Kejriwal Over Ticket to Khayalia 28th February 2014 02:27 PM Several disgruntled AAP workers here protested against its chief Arvind Kejriwal for allotting party ticket to former IAS officer Yudhvir Singh Khayalia from Hisar Lok Sabha seat .,<triplet> allotting party ticket to former IAS officer Yudhvir Singh Khayalia from Hisar Lok Sabha seat <subj> Several disgruntled AAP workers here protested against its chief Arvind Kejriwal <obj> cause
"According to the filing, Hewlett-Packard acquired 730,070 common shares from Octel as a result of an Aug. 10, 1988, stock purchase agreement. ",<triplet> agreement <subj> acquired <obj> cause
The World Bank has approved a new loan program to help finance projects that will improve the quality of life in rural areas.,<triplet> loan <subj> finance <obj> enable
"""It would be unwise for us to take actions that might slow the recovery prematurely by trying to stay ahead of inflation, when our best estimate is that we are not far behind.""",<triplet> actions <subj> recovery <obj> prevent
"These services were affected in the last two days following stone throwing had operated from the Palakkad depot on Friday , while five operated on Saturday .","<triplet> stone throwing had operated from the Palakkad depot on Friday , while five operated on Saturday <subj> These services were affected in the last two days <obj> cause"
"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.",<triplet> approval <subj> acquire <obj> enable
The United Nations has imposed an arms embargo on Syria in an effort to prevent the spread of chemical weapons.,<triplet> Arms embargo <subj> Spread <obj> prevent
Normal life hit in Central Assam by bandh over AIIMS,<triplet> bandh <subj> Normal life hit in Central Assam <obj> cause
Normal life hit in Central Assam by bandh over AIIMS,<triplet> AIIMS <subj> bandh <obj> cause
"﻿The protests , which began over a proposal to allow extradition to China , pose the most serious challenge to China ’ s authority over the city since 1997 , when it was returned from British to Chinese control .",<triplet> a proposal to allow extradition to China <subj> ﻿The protests <obj> cause
"﻿The protests , which began over a proposal to allow extradition to China , pose the most serious challenge to China ’ s authority over the city since 1997 , when it was returned from British to Chinese control .",<triplet> it was returned from British to Chinese control <subj> pose the most serious challenge to China ’ s authority over the city since 1997 <obj> cause
Modi and the BJP have been claiming that the Governor has been trying to run a parallel government as the Congress and his critics have been unable to prove his complicity in the riots case and so they have been using the Raj Bhawan to fulfill their hidden agenda of destabilising his government .,<triplet> the Congress and his critics have been unable to prove his complicity in the riots case <subj> the Governor has been trying to run a parallel government <obj> cause
Modi and the BJP have been claiming that the Governor has been trying to run a parallel government as the Congress and his critics have been unable to prove his complicity in the riots case and so they have been using the Raj Bhawan to fulfill their hidden agenda of destabilising his government .,<triplet> the Governor has been trying to run a parallel government as the Congress and his critics have been unable to prove his complicity in the riots case <subj> so they have been using the Raj Bhawan to fulfill their hidden agenda of destabilising his government <obj> cause
Modi and the BJP have been claiming that the Governor has been trying to run a parallel government as the Congress and his critics have been unable to prove his complicity in the riots case and so they have been using the Raj Bhawan to fulfill their hidden agenda of destabilising his government .,<triplet> to fulfill their hidden agenda of destabilising his government <subj> they have been using the Raj Bhawan <obj> cause
