text,label
 spends  worrying cause Loses weight,1
 cuts the cake cause eats slice of cake,1
 learns  every day cause  increases their understanding,1
 attracts  by offering cause Get more results,1
 treats  badly cause avoids personx,1
 leaves the rest to  cause takes a nap,1
 makes some extra cash cause they can spend money,1
 knows the  better cause gains wisdom,1
 breaks ground cause gets exercise,1
 blinks several times cause to get something out of their eye,1
 loves the show cause body feels excited,1
 finally took  cause fuels their car,1
 takes  by the arm cause  is pulls away from ,1
 writes  a letter cause puts in envelope,1
 begs  to let cause walk away,1
 eats healthy things cause gets faster,1
 falls many times cause gets headache,1
 casts  upon the earth cause Gains fruit,1
 wins the race cause person x gets a trophy,1
" knows what else to say cause COOMITS A CRIME, GETS ARRESTED",1
 parks the bus cause  is thanked,1
 tells  this cause become more aware,1
 is near  cause smiles,1
 assumes  expression cause gestrues,1
 becomes  engineer cause is stressed,1
 zig when  shoulds zag cause learns a valuable lesson,1
 assists  cause stay late at work,1
 spends  visiting cause sees different things,1
 makes  harder cause makes more money,1
 throws  on the floor cause is wounded by dropped object,1
 moves across town cause buys furniture,1
 really hurt  cause resents personX,1
 is time to perform cause they go onstage,1
 affords to buy one cause makes a purchase,1
 shapes the character  cause meeting,1
 buys the part cause spends money,1
 gets a pet cause teaches tricks,1
 also asked  cause listens,1
 screams at  cause Screams,1
 is grounded for a month cause protests,1
 is washing dishes cause rinses soap off,1
 suffers another  cause is hospitalized,1
 tells  mom cause y gets grounded,1
 decides to call  cause picks up phone,1
 comes across  cause gains knowledge,1
 has low self esteem cause feels unloved,1
 gives  some tips cause receives tips back,1
 decides to major cause gets class schedule,1
 frightens away  cause Gets thanked,1
 pays  attention cause Hears story,1
 supports  cause receives a hug,1
 drives  there cause wants to go back home,1
 reinvents the wheel cause files for a patent,1
 knows  in the biblical sense cause gains more knowledge about ,1
 determines precisely the  cause become knowledgeable,1
 is afraid at first cause overcomes fears,1
 makes the dough cause gets their hands dirty,1
 fights hand to hand cause Person X breaks his wrist.,1
 takes about an hour cause falls behind,1
 overcomes  with good cause saves a life,1
 wants kids cause They imagine their lives with children.,1
 has to go to school cause grows bored,1
 has a great job cause gets big paychecks,1
 finds the source of the noise cause sees mice,1
 calls the cops on  cause they fill out a report,1
 mows my lawn cause finishes a task.,1
 sees  too cause nods,1
 puts my arm around  cause gets startled,1
 takes a lot of pictures cause gains experience,1
 pays  to caesar cause goes back home,1
 serves it to  cause Finish breakfast,1
 wants nothing to do with  cause sees X years later,1
 receives an email cause answers email,1
 sends  to school cause person x rests,1
 throws open the  cause bleeds,1
 spills the tea cause floor spills with tea,1
 swerves to avoid it cause Saves something from being destroyed,1
 eats spinach cause Washes the dishes,1
 sends a text cause hears their phone,1
 never liked  cause avoids the disliked item,1
 spits  out cause is wet,1
 persuades the  to adopt cause improves life,1
 quickly put  cause Person X plays football.,1
 goes fishing  cause Finds a new spot,1
 says hello to  cause Asks X abotu how things are,1
 walks home from school one  cause breathes heavily.,1
 goes  yesterday cause Notices X,1
 is best for  cause falls in love,1
 shoots a deer cause runs away,1
 thinks it was cute cause sensitive,1
 watches  on tv cause relaxes,1
 sounds  alarm cause Jumps back in surprise,1
 gets a hit cause celebrates,1
 always failed cause overeats in consolation,1
 eats fried chicken cause interested,1
 takes some time cause gets yelled at to hurry up,1
 looks pretty cause wants to make  more pretty,1
 diverts  away cause checks his secret account,1
 opens the email cause have to work,1
 moves quickly cause Meets a deadline,1
 suspends  cause becomes constrained,1
 finally started cause On diet,1
 uses the internet cause sending mails,1
 kicks up a fuss cause increased emotional unrest,1
 punches  in the face cause feels pain in arm that punched PERSON,1
 wakes up  morning cause FEELING RELEAXED,1
 runs everyday cause person x heart gets stronger,1
 spends  to make cause Makes enough to retire,1
 retrieves the ball cause extend their arms,1
 moves to a new area cause buys a house,1
 points a gun cause screams,1
 renders  to the cause cause become aware of a new case,1
 buys the dress cause wears the dress,1
 about to get married cause says yes,1
 has back pain cause person x takes a hot bath,1
 serves it to  cause sharing the food,1
 laughs and told  cause is nice,1
 kills every  cause are unable to move anymore,1
 takes  to court cause  goes to jail,1
 makes  really happy cause greatful to personX,1
 schools every day cause gains knowledge,1
 expects  answer cause re-evaluates their tutoring methods,1
 eats spaghetti cause Gets stomach cramps,1
 eagerly awaited cause got it in time,1
 increases  by increasing cause pumps fists in excitement,1
 tells it like it is cause gets called names,1
 breaks my leg cause calls an ambulance,1
 finds  at a store cause jumps up in joy,1
 drinks the milk cause  cramps due to being lactose intolerantq,1
 bumps  cause Person X sees how far they bump person y,1
 wears  everywhere cause laughed at,1
 arrives in  cause person y walks away from person x.,1
 finds my keys cause Gives handshake,1
 permits  to enter cause greets person,1
 is having a lot of fun cause heart rate increases,1
 speaks  well cause increased understanding from others,1
 takes  to the counter cause is told the price he needs to pay,1
 prevents  to others cause is well thought of,1
 asks if  could help cause Needs more help,1
 studies abroad cause he is smarter,1
 takes a drink cause  visits the restroom,1
 considers  in terms cause  changes their opinion,1
 is shopping at the grocery store cause slips on wet floor,1
 evens asked  cause reveal,1
 knows that  well cause is confident,1
 plays the clarinet cause makes beautiful music,1
 enjoys the music cause personx taps their feet,1
 usually made  cause Genius decision,1
 protects the  from attack cause Person x is heralded a hero,1
 assembles  cause gets thanked,1
 lets go and let god cause tries to   be with God,1
 studies with  cause is invited to coffee,1
 takes a shower cause gets clean,1
 stabs  in the back cause gets arrested,1
 keeps  record cause receives compensation,1
 is too much for  cause gets bothered,1
 attracts  by offering cause Achieve Success,1
 sees  home cause drives past,1
 gives the class  cause find the best one,1
 works closely with  cause gets to know  better,1
 finds  in the garbage cause throws it back out,1
 sends  to college cause Study hard,1
 takes a cab home cause no effect,1
 turns the  away cause Redirects attention,1
 is desperate for money cause does something illegal,1
 plays bingo cause wins a prize,1
 gets a checkup cause Seeks treatment,1
 is moving to a new town cause get a new place to live,1
 learns computer programming cause too learns computer programing,1
 begins  soon cause becomes energetic,1
 inspects every  cause forms an opinion,1
 gives  a hug cause feels person X,1
 begins to feel ill cause gets a fever,1
 lays  by side cause everyone dies except his mother,1
 gets  as a pet cause hopes they learn responsibility,1
 calls  for a ride cause gets thanked,1
 answers  questions cause can ask a follow-up question,1
 acquires  interest cause receives reaction,1
 seems friendly cause is talking,1
 tries to reassure  cause personY gains calm.,1
 persuades  to vote cause gets elected,1
 is missing something cause is crying,1
 gets ready for class cause sits at desk,1
 sits down beside  cause smiles at personX,1
 loves every minute cause learns something new,1
 looks disgusting cause gets called names,1
 offers  a position cause gets asked questions,1
 complains to  cause blushes,1
 wants to eat it cause salivates,1
 is really shy cause blushes,1
 calls animal control cause gets the snake removed from the yard,1
 takes care of everything cause Learns responsibility,1
 gets suspended cause punished at home,1
 impresses a girl at school cause  gets a date,1
 becomes hungry cause becomes irritated,1
 puts  to the test cause  pushes the limits,1
 tells mom cause To do it now,1
 pushes back the  cause gets tired.,1
 gets  to help cause Person X felt bad in shop,1
 judges the  in righteousness by that man cause concedes,1
 serves  cause gets thanked,1
 grins like a cheshire cat cause no effect,1
 enjoys the music cause goes home,1
 explains the rules cause  does well at observing the rules,1
 splits the money cause has less money,1
 spells  correctly cause gets a good grade,1
 takes a selfie cause shares with friends,1
 throws  a surprise birthday party cause gets thanks,1
 stops playing cause Others stand closer to  after the shower.,1
 changes the channel cause Covers ears because the next channel is really loud,1
 denies everything cause avoids them,1
 watches netflix cause loses energy,1
 breathes easy cause is relaxed,1
 furthers the  for the maintenance cause BECOME IN GOOD IN MAINTANENCE,1
 offers the job cause go to work,1
 takes a rest cause works hard,1
 leaves  to the imagination cause  acts coy,1
 sends  to summer camp cause they enjoyed some peace.,1
 hears  since cause are not affected by the incident,1
 develops  system cause they know they did well,1
 misses  already cause sighs,1
 is able to go home cause able to eat a home cooked meal,1
 supplies  with food cause receives smile,1
 invites  to a movie cause is shown appreciation,1
 delivers  cause  is interviewed.,1
 scars the crap out of  cause screams,1
 becomes a writer cause writes a chapter,1
 decides to go fishing cause  catches many fish,1
 straps  cause smiles,1
 takes a cab cause moves around,1
 finally found the perfect one cause gets married,1
 pays the cashier cause person x goes home,1
 plays   in the formation cause Can increase his responsibility,1
 eats at a fancy restaurant cause gets full,1
 cries with joy cause has tears in their eyes,1
 learns the hard way cause breaks something,1
 buys a skateboard cause gets a receipt,1
 goes against the grain cause will dislike person X,1
 records  cause is on video,1
 takes time off cause breathes freely,1
 sees what it was like cause is better able to relate,1
 helps  up cause laughs,1
 quickly found cause feels thankful for finding it.,1
 takes a shot cause tries again,1
 starts to laugh cause wants to tell a joke,1
 eats a hot dog cause ask for a soda.,1
 votes for  cause wins,1
 gets bit cause needs medicine,1
 flies a kite cause see pretty kite flying.,1
 does not want to leave cause checks the time on their watch,1
 sets the  right cause  introduces new information,1
 walks home from work cause saves gas,1
 never showed up cause are disinvited,1
 uses the litter box cause is sent to an asylum,1
 works all day cause falls asleep,1
 wins a million dollars cause Gets rich,1
 goes through hell cause prays,1
 plugs  back cause becomes tired,1
 takes  to work cause arrive on time,1
 produces  for the market cause lose money on the transactions,1
 raises  to support cause gives the money to charity,1
 names the puppy spot cause runs away,1
 tells  had gone cause gets information,1
 adopts a little girl cause little girl is safe,1
 uses a leash cause pull there master along,1
 hires a tutor cause to increase his GPA,1
 returns the phone cause is thanked by personX,1
 walks to the gas station cause gets exercise,1
 sees a huge spider cause yells,1
 gives  back to  cause expresses love,1
 keeps  at home cause Is stuck at home,1
 gets very drunk cause throws up,1
 drinks a little too much cause vomits,1
 drives  to despair cause feels regret,1
 starts a business cause learns a lot,1
 plays  professionally cause gains fans,1
 takes  later cause waits,1
 loses one cause will try harder next time,1
 shows everyone  cause receives praise for his work,1
 gives  a ring cause smiles,1
 takes  to the store cause is bored,1
 gives jeff  cause makes money,1
mine cause contact,1
 weighs every  cause nods head in understanding,1
 steals something cause mistrust people,1
 pushes  in cause loses balance,1
 is super happy cause celebrates victory,1
 discusses at length the  cause forms conclusions,1
 is watching the news cause learns about whats happening worldwide,1
 starts reading cause Falls asleep,1
 receives treatment cause  recovers,1
 steps on a rake cause cries in pain,1
 finishes on time cause Person X sits at his desk and waits.,1
 finds a cave cause hears a noise inside,1
 thanks the  for providing cause ingratiates himself,1
 sees  immediately cause personY recognizes personX,1
 gives battle cause wins the fight,1
 potty train cause travel,1
 watches the video cause sees something,1
 gives  a huge hug cause TO WISH FOR SUCCESS,1
 rids the bus home cause reaches home safely,1
 helps  get up cause becomes grateful to ,1
 loves  enough cause Decides to settle,1
 makes  advance cause Has a strategic advantage,1
 makes it up to  cause receives a gift,1
 touches  on the shoulder cause gets afraid,1
 obtains  from the government cause invest in land,1
 buys pizza cause Spends money,1
 tells the waiter cause Person X gets food,1
 decides to have a yard sale cause Receives money,1
 shows another  cause is thanked,1
 pays the fiddler cause Gets a service,1
 moves from place to another cause avoid negative thinking people,1
 sets  up on a blind date cause meets date,1
 decides to adopt a cat cause is cuddled by the cat,1
 loves  cause Person Y does not have to be alone,1
 rids the bus to school cause sits in his desk at school,1
 makes a hole cause they get tired,1
 stops trying cause sighs heavily,1
 prepares  for work cause they do better on tasks.,1
 eats my lunch cause are fuming from anger,1
 dumps  cause is susprised,1
 loves the game cause  has a new favorite sport,1
 gives  a speeding ticket cause is told how fast he was speeding,1
" plays games with  cause Enjoys self, laughs",1
 opens the fridge cause looks for something to eat,1
 is still asleep cause GET FEELING,1
 sees better cause sees small prints,1
drug use cause addiction,1
 makes fun of  cause person Y breaks up with person X,1
 is great fun cause is invited to parties,1
 pursues  cause gets tired,1
 never found out cause Remains blissfully unaware,1
 kneels in front of  cause smile,1
 gets  for my birthday cause smiles,1
 kneels next to  cause gets dirty,1
 swims upstream cause Gets fatigued,1
 tells  stories cause goes to sleep,1
 starts a business cause call clients,1
 gets food cause prepares the food,1
 has words cause have a best,1
 goes play outside cause person x meets new friends,1
 rips  apart cause to work hard,1
 assumes  form cause yelled at for assuming,1
 finishes  on time cause wants to turn in the report,1
 smiles at  cause meets a new friend,1
 eventually died cause leave behind friends and family,1
 invites friends cause cooks for friends,1
 wants to work cause chased out,1
 has a terrible sunburn cause  regrets not putting on sunscreen,1
 feels like home cause Gets surprise hugs,1
 plays little league baseball cause gets tired playing baseball,1
 looks  in the eye cause notices eye color,1
 hisses at  cause stomps on the ground,1
 orders a salad cause starts eating,1
 sends  abroad cause  sends something to someone,1
 chases the ball cause caught the ball,1
 drives from florida cause stopped by hookers,1
 gives  the letter cause does a good deed,1
 slaps  in the face cause is punched,1
 serves it to  cause enjoys a meal,1
 makes  everyday cause got increased endurance from jogging every day,1
 gets some fast food cause gets sick,1
 buys school supplies cause Pays in cash,1
 likes to hunt cause go to the jungle,1
 attends church cause prays,1
 takes a road trip cause They map out their route for the next day,1
 has a terrible sunburn cause  turns bright red,1
 tells  was sorry cause sighs in relief,1
 takes  well cause Medicine,1
 wears  instead cause body temperature rises,1
 crosses  path cause jumps in shock,1
 buys a new keyboard cause is sold accessories,1
 treats  to ice cream cause forgot money,1
 returns to  cause  receives a hug,1
 rushes  to the vet cause Going inside vet office,1
 receives  back cause Fills out another one,1
 leaves the theater cause the picture is gone,1
 grows impatient cause NONE,1
 gets to the front of the line cause smiles,1
 finds  to read cause body relaxes,1
 pulls  back cause  hesitates,1
 takes  for granted cause someone else offered to help him,1
 gets  order cause they get their meal,1
 tells  what you think cause are satisfied,1
 decides to have a yard sale cause comes across new shirt,1
 gives  a lecture cause  makes their opinion known,1
 is the last day of school cause smiles a lot,1
 casts aspersions cause  yells in anger,1
 sees  together cause increases awareness,1
 hits a deer cause Person X curses audibly.,1
 watches  at night cause senses the quietness,1
 tells tales out of school cause ask questions,1
 makes waffles cause has a lot of dishes to do,1
 would pass cause  sweats from exercise,1
 looks in the fridge cause drink water,1
 always looked forward cause has a good attitude,1
 makes a frozen pizza cause gets heartburn,1
 exists without  cause is approached by ,1
 wants to go to a concert cause thinks about concert,1
 pays  on demand cause person x sleeps,1
 starts running every day cause They get fitter.,1
 improves  in patients cause  is hugged by patients,1
 pays dividends cause gain money,1
 hurts badly cause needs stiches,1
 is going pretty well cause Person X graduates with honors.,1
 obtains  understanding cause shakes hands,1
 prevents  from joining cause receives praise for his work,1
 provides  for patients cause  fills out patient charts,1
 tells  apart cause  hugs ,1
 convinces  would be cause are persuaded,1
 sees how the land lies cause hits a golf ball,1
 sees a scary movie cause goes to sleep,1
 brings the  to terms cause is brought to terms,1
 rides the roller coaster cause Experiences physical effects of going fast,1
 holds  up cause gets dizzy,1
 gives  idea cause Inspired someone,1
 calls  instead cause gets nervous,1
 asks  about it cause smirks,1
 makes some coffee cause looks for condiments,1
 needs to know cause they never find out,1
 runs all the way home cause Nobody noticed Person X,1
 finds a store cause  smiles,1
 calls it quits cause loses income from job,1
 finds a new hobby cause organises a workshop,1
 affords a new one cause feels remorse,1
 busts a cap cause loses a bullet,1
 seizes  by the arm cause break away,1
 puts the fear of god into  cause confesses crimes,1
 takes  lying down cause Someone shows greater influence than X.,1
 knows  was in trouble cause goes to the rescue,1
 pays  tax cause gets a thank you,1
 pardons my french cause Replaces curse word,1
 fees the cat cause  spills the kibble,1
 would get hurt cause They go to hospital,1
 insults  cause yells at x,1
 tells  the story cause bonds with ,1
 gets evicted cause gets stressed,1
 gets better cause Person X leaves the hospital.,1
 remembers anything cause goes to them if they want to know something,1
 has a birthday coming up cause Gets presents,1
 cooks chicken cause they say thanks,1
 wants new shoes cause goes to a store,1
 takes  case cause learns about case,1
 orders a drink cause pays money,1
 has a bad cough cause Person X gets medicine,1
 wants ads cause thinks about having ads,1
 moves mountains cause gains muscle,1
 meets another  cause New acquaintance introduces self,1
 assists  in making cause PeronX gets promoted,1
 uses  to avoid cause is safe,1
 gives  something cause is thanked,1
 falls hard cause  screams,1
 runs smoothly cause legs grow tired,1
 buys a pregnancy test cause THE FATHER IS EXCITED ABOUT THE RESULT,1
 lends  the money cause gets arrested for fradu,1
 heads right cause They get to their destination,1
 decorates for christmas cause is tired,1
 wants to be the best cause they become the best,1
 hears a strange sound cause finds the source of the sound,1
 gives  freedom cause Repay it,1
 warms  cause chuckles,1
 practices all summer cause gets better,1
 plays it everyday cause Person x gets very good!,1
 gives  attention cause looks directly at ,1
 impresses a girl cause shows off to everyone,1
 takes  out cause picks restaurant,1
 wants to touch  cause playing a game,1
 loves watching television cause gets lazy,1
 rents  instead cause pays less money,1
 gets anything cause goes to the store,1
 plays a game cause joins a team,1
 protects  from discrimination cause helps others,1
 carries a torch for  cause gives attention to the person,1
 grabs and go cause lunch,1
 decides to call  cause they dial the number,1
 dreams of one day cause win powerball lottery,1
 sleeps soundly cause gains energy,1
 has a terrible day cause falls asleep,1
 buys a new sweater cause smiles because he/she really like it,1
 develops  attitude cause teaches ,1
 drives  to school cause gets told good bye,1
 finds  unresponsive cause personY is hospitalized,1
 damns the torpedoes cause yelled at,1
 decides to save up cause rides in the car also,1
 always got  cause he was happy with his choice,1
 takes  to the emergency room cause gets thanked,1
 gives  an interview cause listens to ,1
 sees  the day cause waits to see personX,1
 discusses another  cause Accept his offer,1
 wants to hear cause concentrates,1
 sends umi a  cause smiles,1
 gives  reasons cause gets results,1
 provides  alternative cause has to resond to more questions,1
 gets bent out of shape cause runs out of breath,1
 stays forever cause Asks X to leave,1
 keeps a eye on  cause personX find something about personY,1
 never saw  cause looks shocked,1
 issues  order cause does what asked,1
 stops loving  cause finds someone new to love,1
 begins to snow cause smiles,1
 accepts every  cause smacks own forehead,1
 wraps paper cause hands cramp up,1
 delivers pizzas cause hears knock/doorbell,1
 enters the science fair cause sets up his project,1
 includes also the  cause they get feedback on it,1
 is right behind  cause plays a prank on Y,1
 gives  a answer cause faints,1
 wins the prize cause smiles,1
 texts  cause startled by text,1
 reads aloud a  cause learns more,1
 is often late cause gets fired,1
 creates  atmosphere cause Plays music,1
 makes a long story short cause They finish the story,1
 asks a girl cause answers a question,1
 never caught  cause  cries,1
 makes  in tips cause spends tips,1
 is laughing at  cause blushes,1
 tries yoga cause mind calms,1
 takes  to the emergency room cause is diagnosed,1
 takes another step cause Person x is moved forward. Closer to obejctive,1
 works well cause gets a raise,1
 enters the  on the side cause can view the  better,1
 sees what the problem was cause smiles,1
 runs as fast cause gets tired muscles,1
 helps  remember cause relies on past knowledge,1
 asks  for a pencil cause Never gives it back,1
 makes a loud noise cause blushes,1
 would rather cause drives in different direction,1
 likes  well cause smiles a lot,1
 walks towards the door cause Opens door,1
 picks corners cause get caught,1
 enters the  together cause says hello,1
 pays a lot of money cause breathes deeply,1
 loves fall cause goes for walk,1
 gets  for school cause backpack rips from the weight,1
 finds an email cause Person X reads the email.,1
 gets good grades cause Graduates,1
 plays very well cause is asked to join team,1
 pretends to like it cause have to listen to the whole musical.,1
 sees  in the distance cause stops,1
 would make  feel better cause becomes exhausted,1
 can not afford one cause  saves money,1
 walks on the street cause keeps their shoes clean,1
 pulls a prank cause Put on YouTube,1
 is on a tight budget cause to tight budget,1
 takes  down cause some are not worried,1
 cleans the entire house cause relaxes after,1
 knits a sweater cause  completes the sweater,1
 wears shorts cause has cooler legs,1
 has to go to school cause learns things,1
 makes pie cause  smiles,1
 wants a new job cause searching in job portal,1
 walks to  cause gets active,1
 would find out cause startled,1
 views the  in terms cause  is opinionated,1
 eats too many sweets cause gets a cavity,1
 spends money cause They tell others what they got.,1
 walks  from school one cause thinks about chores,1
 rocks the boat cause is ostracized by the town,1
 plays music cause turns it up louder,1
 gives  form cause TO HAVE DIRED,1
 takes  to the store cause has fun day,1
 sets pulses racing cause festival time,1
 spits  out cause hits ground,1
 bases upon research cause  is able to make a more clear cut decision,1
 returns the money cause thanks person X,1
 sells  cause commits a crime,1
 asks the students cause becomes informed,1
 works two jobs cause has money,1
 decides to give it a try cause smiles,1
 bribes  with candy cause shakes candy around,1
 goes  in the woods cause personX gets bug bites.,1
 eats all day cause gets fat,1
 enters upon a career cause gains experience,1
 attends the concert cause gets mugged,1
 gives  a share cause they blush,1
 takes  off road cause no effect,1
 takes the bus cause has to stand,1
 pushes  over the edge cause gets sedated,1
 pays  back cause is thanked by personY,1
 keeps a cool head cause he does things better,1
 putts  to death cause  dies to  killing him with a putter,1
 is a big sister cause has two kids,1
 runs rings around  cause finishes 4 laps,1
 causes trouble cause Is arrested,1
 chases the dog cause runs out of rbeath,1
 wants to help  cause spoiled his help,1
 buys a new shirt cause gets receipt,1
 is finally done cause  smiles.,1
 glances behind  cause gets to see persons face,1
 does not want to leave cause stays in their seat,1
 pushes away the  cause walks ahead,1
 takes  to the mall cause sees interesting things,1
 knows  well cause becomes familiar with ,1
 is a new mother cause Experiences innate motherly instinct,1
 washes clothes cause Folds some laundry,1
 makes  changes cause is grateful to personY,1
 offers  a ride cause they make it on time,1
 derives  benefit cause Is helped out,1
 gives  back cause In exchange for money,1
 sees  much cause  recognizes ,1
 offer  the job cause gets asked questions,1
 keeps   on things cause Checks in with Person Y,1
 flies a kite cause consider buying a kite.,1
 grabs the ball cause to grabs the ball,1
 visits canada cause gets married,1
 sends photos with submission cause develops the negatives,1
 catches the flu cause catches a fever,1
 eats  every day cause Falls in love,1
 has it both ways cause Gets away with many things,1
 is completely destroyed cause stops working,1
 advises the  on all matters cause nurse,1
 pulls  to safety cause loses energy,1
 holds the phone cause answers phone,1
 is never seen again cause Is missed,1
 makes  sort cause Is more organized,1
 gives the   idea cause The beginner learns of the subject,1
 changes  cause Becomes someone else.,1
 puts  in bags cause Pays X for bags,1
 finds  unresponsive cause they are helpless,1
 eats the pizza cause gets indigestion,1
 submits  to a publisher cause the publisher looks at the book,1
 buys a new toy cause breaks toy,1
 blows  cause catches breath,1
 continues walking cause sits on a bench,1
 is feeling depressed lately cause becomes lethargic,1
 creates  awareness cause Support starts to flow in,1
 goes missing cause wonders where  is,1
 supports  cause smiles,1
 cares about  cause receives care,1
 exercises  authority cause admonished,1
 rolls away cause gets run over,1
 drives deep inside  cause is penetrated,1
 has a birthday coming up cause Gets a surprise party,1
 takes the bait cause testify against their criminal partners,1
 sticks in the mud cause pulls themselves out,1
 takes many classes cause learns,1
 pushes away the  cause receives a surprised look,1
 tells  things cause knows what to do next,1
 thanks the  for support cause they help others too,1
 locks the  behind  cause  shakes their arms,1
 comes home soon cause his family gets to see him earlier,1
 sees what was making the noise cause turns head towards the noise,1
 works  lately cause earns more money,1
 takes  around the neighborhood cause Asks X to be dropped off,1
 takes the offensive cause he gets the ball,1
 takes guard cause they are protected,1
 decides to compromise cause is offered a handshake,1
 decides to go on a date cause gets dressed up,1
 gives  a sign cause gets asked questions,1
 takes  back cause request to driver,1
 imposes upon  the  cause yells,1
 smacks  cause are arrested for assault,1
 makes  together cause  eats leftovers,1
 dances around cause exercised,1
 gets angry with  cause get into a fight,1
 injures badly cause falls,1
 puts  on the grill cause pays attention to item on grill,1
 wants a new purse cause they recieve one for a birthday.,1
 pulls the  together cause to pulls the material,1
 goes  anyway cause punished,1
 helps  in trouble cause are antagonized by ,1
 gives chase cause yells,1
 has a sweet tooth cause  wants to eat candy.,1
 compares and contrast  cause gets published,1
 draws  from the well cause responsible,1
 gives tom  cause follows the instructions,1
 gobbles  up cause Person Y is eaten,1
 takes  to mexico cause carries their bag,1
 acts as  agent cause lies,1
 drives to the shop cause enters shop,1
 quotes another  cause receives higher grades,1
 sells  cause Person Y has to move,1
 takes  to the veterinarian cause talks to the vet,1
 visits  this weekend cause has fun,1
 tries several things cause increased personal desirability in their job.,1
 wants to get a dog cause buys a collar,1
 bats an eyelid cause gets accused,1
 gives  analysis cause finds a solution,1
 teaches  skills cause Ends up successful,1
 feels uncomfortable cause changes the subject,1
 wants  to stay cause gives reasons,1
 goes with the flow cause HAVE TO SECURE,1
 drops a bomb cause people are injured,1
 schedules an interview cause hires new employee,1
 builds a snowman cause hands get cold,1
 takes  to the beach cause needs some rest,1
 bears upon  cause are borne down upon,1
 calls  anyway cause gets engaged in conversation,1
 energizes  cause receives compliments,1
 gets  lately cause has fun at parties,1
 hits rock bottom cause self-diagnosis woth depression,1
 has never cooked before cause person x eats,1
 leaves for college cause is dropped off by the bus,1
 moves to a new state cause drives,1
 steps away from  cause Notices increasing distance,1
 keeps  in order cause explains the rules,1
 grows  by year cause Gets taller,1
 draws in a deep breath cause exhale the air by mouth,1
 tempts fate cause suffers,1
 gets the ball back cause  smiles,1
 feels adventurous cause Injures themselves,1
 finds  everywhere cause cleans home,1
 limps home cause gets sore on other leg from limping.,1
 evens asked cause get investigated,1
 is hesitant at first cause decides to try,1
 gets good grades cause make lots of money,1
 plays a gig cause goes home,1
 drives  mad cause is in a bad mood,1
 gets a new kitten cause buys cat food,1
 sees  in the kitchen cause yells at cat to scram,1
 sees well cause is able to read words from a bigger distance,1
 goes  anyway cause bitten,1
 goes sledding cause has an accident,1
 improves the  by providing cause walks proudly,1
 holds  up cause shows strength,1
 goes back to  cause they caught up,1
 recovers back the  cause has extra money to spend,1
 decides to go for a walk cause Gets tired,1
 puts  on the floor cause forgets about it and steps on it later,1
 grows tired of it cause leaves it,1
 keeps the family together cause receives support,1
 tries several things cause Person X gains knowledge.,1
 brings it to school cause is tired out from carrying it,1
 makes hot chocolate cause decides to add some marshmallows,1
 leads  to the door cause  excuses ,1
 gives  a place cause smiles in happiness,1
 never returned cause to be honest,1
 tells  had said cause Gets backlash from others,1
 becomes annoyed cause They succeed in getting X to leave the room,1
 is getting a raise cause they know he is happy working there,1
 plays games cause Gets entertained,1
 leaves the  immediately cause thinks about party,1
 catches a lot of fish cause he cooks,1
 puts  in the car cause  gets in the car,1
